,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
20, on 06/17/13 06:18 AM (PDT),pesci ,2011 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Fun car for the young," This car isn't for older drivers. The backseat is very difficult to get into for passengers and the doors are heavy and of course, it sits high.You will also get some top and cowl rattle If you can get passed the above, then this is the car for you. Its funIt looks niceIt rides very nice.Life is good with the top down in this car.I have had mine for several thousand miles and love it!It rides great and the leather feels even better.It hasn't leaked a drop even in heavy rain.It's a lot of fun and the luxurious interior is a step up for me having come from Honda.The GPS isn't all that great but nice to have with thelarge touch screen ",4.25
21, on 11/01/12 18:17 PM (PDT),strotherdc01 ,2011 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),I think critics are crazy," I was intrigued to find a family man's convertible but I was discouraged by the critics reviews.I decided to go look at it and drive it for myself.I loved it!It was responsive, roomy (for a convertible) and completely loaded.So I bought it! My MPG's have been about 22.I love the tan leather and the seats are extremely comfortable. ",4.75
22, on 08/14/12 16:23 PM (PDT),rob_d ,2011 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),So Glad I Purchased It!," As some reviewers have commented across other websites, you either love this car or hate it. After driving it for some 6 months and 12,000 miles, and having made multiple 400 mile trips through both snow and through 100F heat, I absolutely love this car! There are not many AWD convertibles out there, and while it was never meant to be a sports car, this crossover has been everything I could have wanted in an AWD convertible for taking long trips over mountains. The build quality is excellent and I have not experienced any of the difficulties (handling, door weight, etc.) noted in other reviews I read before purchasing. And get used to compliments from truckers and teenagers. It's non stop!",5
23, on 01/16/12 11:11 AM (PST),wyomingkid ,2011 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Traded in!," I have to totally agree with the previous review!I lasted a month and a half and traded it in, and took a bath on it.It was worth it though to get out of it!I traded it in on a 2012 Nissan Murano hardtop and love it.",2.875
24, on 09/26/11 13:26 PM (PDT),jpw56 ,2011 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),I'm Not Disappointed But ....," I traded in an SUV and a hard top convertible in the hopes I would be able to have just one car that had the attributes of both.This does, for the most part.As others say, it's either love it or hate it.It clearly is a looker and folks either think its cool or ugly.It's definitely not a performance vehicle, but it doesn't claim to be.It's a very heavy vehicle and back seat access can be a pain, but the good seems to outweigh the bad, so far.It has memory seating so if you set your preferences, it will revert back with a touch of a button.The nav and leather upgraded interior is lovely and comfortable and to me, the only downside is that it requires premium petrol.",4.125
25, on 09/15/11 20:56 PM (PDT),sileroy ,2011 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),I lasted 3 weeks before trading it in!," I lasted 3 weeks, then finaly decided that I was getting rid of this car.I was transfixed by the idea of having a true four passenger convertible and I ignored all of the cars faults on the sunny day that I purchased the car.I traded the car in after 3 weeks on a luxury SUV.To say that the car handles poorly is a gross understatement.The car needs to take even relatively tame corners at mild speeds and still the front wind shield would reverberate.The car is roomy for passengers one inside, but rear access is difficult.The front seat releases each have significant issues.The driver's side is power and too slow.The passenger side is manual, but is very unreliable.",2.875
26, on 12/27/16 09:59 AM (PST),Nissan Rogue Owner ,2009 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),2 Bad Transmissions on the car," The Rogue was great when I first bought it, until the transmission failed on the highway in 2013. The transmission was replaced under the extended CVT warranty. The transmission then failed a second time this year. Nissan was not helpful in resolving the issue, and asked me to pay $6,000 in repairs for the vehicle. It is not normal for a transmission to go bad after 2 or 3 years and a 7 year old vehicle to require 3 transmissions.",1
27, on 12/25/16 21:52 PM (PST),Elizabeth ,2009 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),Perfect Little Crossover," I've only had this car for 6 months, but I'm pretty pleased with it. Great gas mileage, great breaking, and i love being high off the ground without the bigger size of a regular SUV. There is a blind spot from the back windows being tiny, so that's the one thing I would change. It could be better, but I love my rogue.",5
28, on 09/01/16 18:44 PM (PDT),Robert Rackens ,2009 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),nicely nissan, ,5
29, on 05/09/16 02:08 AM (PDT),Rita G. ,2009 Nissan Rogue SUV SL 4dr SUV AWD (2.5L 4cyl CVT),Rogue Scholar," I bought a used Rogue.  I zeroed in on it for a few reasons.  First, I had a budget and a reliable used car is what I was looking for.  The Rogue was a vehicle that I researched a few years ago.  I like its versatility as an SUV.  I like that it is not too big, not too small, cute looking, handles like a car, there are a few minor vibrations at higher speeds,  but all in all a great deal for the vehicle.  It was in terrific shape, brand new tires brand new front brakes and 7/10 on the rear brakes  with the exception of some scratches that came off with your typical scratch remover and one ding with minor rust that I have a $500 quote to repair (needs body work) and I am planning on keeping it for its second 100K miles.  My son uses it to go to work when home from college, but I'm finding that I'm using it when he's not home to do 70 mile round trip commutes, trips to the cape (250miles)  and even weekend warrior errands.  It has become my go to car when it is available and will be my husband's car during winter snow storms since his car is a RWD.  We had a Nissan xterra that lasted us 200K miles so I'm feeling pretty good about its prospects for reliability.  All in all a great car and a great deal.  It took some getting used to the larger blind spot and the clock is an electronic clock that is starting to fade a bit, but this is a great car despite those two minor issue.  I think I might need a muffler at some point in the future since the original has some rust, but again, I knew what I was getting into buying a car with 94K miles.  So far, no issues at all.  Update. Well I had an axel and fan replaced in August so I spent about 1600 on those repairs. Other than that the car is running good. We have about 103k miles on the car now.",4
30, on 04/09/16 02:14 AM (PDT),alex ,2009 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),not a good car, Nissan Rogue 2009 it vibrates on reverse. Going 40 it has a whistle sound . The seats in the back make noise going backwards you can see there is  blank spots that your  can't  see,2
31, on 02/12/16 08:11 AM (PST),Australopithecus ,2009 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),GREAT VALUE SUV, Visibility toward the rear for backing and traffic monitoring is very poor.,4
32, on 01/15/16 08:43 AM (PST),Anita ,2009 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),GREAT SUV, I have loved my Rouge. It has been a great car.,5
33, on 10/30/15 13:41 PM (PDT),Brant ,2009 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),Great little SUV," Bought this Rogue for my daughter 2 years ago.  It was very well cared for with 95,000 miles.  New brakes, tires, and all scheduled maintenance was done.  We have had no problems (ex a torn axle boot) in 2 years and 22,000 miles.  This is our favorite car (we have 4) as it has a great balance of economy, handling, comfort, and build quality.  The interior is quieter and classier than the CRV or RAV 4.  Plenty of room to move the kids in and out of college.  When I drive the car I average around 27 mpg both city and highway, not bad for an AWD SUV.  The handling/ride combination is good.  The car is quite nimble compared to by 2003 Lexus RX 300.  Ours has all options but for NAV so there is little lacking.  We will consider another used Rogue when one of our other cars needs replaced.  Living in New England the AWD is a must.  I would personally prefer to drive a car over most SUV's but not this Rogue.  I honestly like the car that much.  As of October 2016 now have 131K miles on the car and all is well.  No problems and still drives well.  136K miles and getting a small rumble when first accelerating.  Sounds like a loose heat shield or exhaust item.  Hope it isn't the CVT failing which has been an issue on early production Rogues.  Otherwise still happy with the car.",5
34, on 08/22/15 04:54 AM (PDT),Brian ,2009 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),Going back to CRV," Very disappointed 72,000 miles and had to spend over $1200 to replace front wheel bearings and right side axle and boot to trans.  My 1998 CRV with over 200,000 miles has never had any mechanical problems in 16 years.",2
35, on 02/22/15 19:24 PM (PST),Keryn Lazar ,2009 Nissan Rogue SUV SL 4dr SUV AWD (2.5L 4cyl CVT),09 rogue sl awd, We bought a rogue as first new car in 09. Car has had zero issues in 5 years other than routine maintenance. ,5
36, on 08/19/14 06:39 AM (PDT),brantw ,2009 Nissan Rogue SUV SL 4dr SUV AWD (2.5L 4cyl CVT),2009 Rogue SL," Bought this car for my daughter a few years ago.It was a one owner with 95,000 miles and a good service history.Have been very pleased with the car.No CVT issues that others have mentioned but it does seem to be an issue on some cars.Better value that the RAV 4 and CRV I looked at.The Rogue interior is considerably more classy and it is quieter inside.All routine maintenance was done before I bought the car (brakes, belts, fluids) so I didn't expect to have any issues and haven't.I drove the car for a few weeks and averaged 27 mpg on back roads with a few stop lights and signs.Pretty good for an AWD SUV and 10 mpg better than my Mazda CX-9.  Update 8/22/2018.  Car now has 147,000 miles.  Still generally happy.  Did have to recently spend $1,500 in repairs.  Oil cooler on CVT was leaking so needed replaced.  Thankfully the dealer said the CVT itself is in good shape.  Also had the belt tensioner pulley replaced.   I suppose it isn't unreasonable to put this kind of $ in a car at 140K miles.  Also the Alternator pulley was chattering so replaced that.  Overall I would say this car has needed more unscheduled maintenance than my Toyotas but far less than my Chevy Equinox.",4
37, on 09/01/13 20:59 PM (PDT),bteeley ,2009 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),Dont buy a CVT Nissan," The car is fine.Its a bit loud, not very powerful.On one had compared to its peers the interior it is well built.The transmission failed a few years ago, the dealer replaced it under warranty with no issues.Now, about 60k miles later the transmission is failing again, it sounds like a truck, the issues are well documented and the dealer tells me it is normal.Refusing to do anything to resolve the issue.After owning the car for 4 years there are many other vehicles I would purchase over the Nissan Rogue. Initially, I really like what Nissan is about, ride quality, reliability, etc.But I will not purchase another one.Search the net for CVT reviews before you buy.",2.625
38, on 07/01/13 06:43 AM (PDT),ejo1 ,2009 Nissan Rogue SUV SL 4dr SUV AWD (2.5L 4cyl CVT),Rogue can compete with RAV and CRV," As said above this car can easily compete with a RAV-4 or CRV.I drove my 09 Rogue SL AWD for 85,000 miles without a problem.As with everycar I own.owned I only use Mobil 1 for oil changes at longer intervals than book recommends for the car.Dealer did all my oil changes and maintenance and cost was overall less than expected.Just changed brakes and rotors all the way around with high quality as they old ones started to ""wobble"" at 83K miles.I averaged 24mpg with mixed driving.I had long highway drives (72 mph) at 29 mpg but also ones at 23 mpg.City driving is less than stated mpg, but overall a great comfy ride. This car is a great all around CUV that will grow on you.Forgot to mention that with winter tires and the capability to engage true 4WD this car is great in the snow.Did trade in the car for a Highlander Hybrid with larger towing capacity.I've been seeing a lot ""new"" Rogues which are better looking and seem a lot larger, more like what a Murano was in 2008Again you can't go wrong it's just a question of taste.",4
39, on 11/29/12 10:36 AM (PST),hondagal03 ,2009 Nissan Rogue SUV SL 4dr SUV AWD (2.5L 4cyl CVT),"Make the ""wobbling"" stop!!!!"," I just bought a used 2009 Rogue less than a month ago and have had nothing but problems.The car was supposed to be ""certified"" as well.It has been at the dealer shop longer than I have actually been able to drive it.There were 6 issues with it, all have supposedly been resolved, except for one...the wobbling while driving 30-45 mph!Today I drove with the service manager, he informed me that it was normal and it was the torque conversion being engaged.I just can't buy that answer!It's annoying!He also said he has told over 600 people the same answer because they come in with the same complaint.Does anyone else have this issue???? I can't find ANYONE online complaining about it",3.875
40, on 08/06/12 10:51 AM (PDT),englddriver1 ,2009 Nissan Rogue SUV SL 4dr SUV AWD (2.5L 4cyl CVT),Great Car!and a must own for any looking in this class!, I have to say after reading some of the other reviews I laugh at what people find as annoying...Claiming there AWD doesn't work when they don't lock it? Or the fact that they think the car is a 4X4. Nissan/Infiniti AWD is one of the best in the world and as a long time Infiniti owner of the M class X series I love there AWD and I live in snow country.We purchased this for my fiance as a baby is on the way and wanted a great MPG Cross over.We look at the Infiniti Cross over but my Fiance didn't like any of the looks and felt it had to many gadgets. So we went with the SL AWD Rogue and she loves it! Great MPG love the CVT tranny fun on highway and holds well in the snow for the high RMPS.,4.5
41, on 07/24/12 08:05 AM (PDT),lemondepresion ,2009 Nissan Rogue SUV SL 4dr SUV (2.5L 4cyl CVT),82000 Miles of frustration," This car has been nothing but problems after 41000 miles. Brake rotors keep warping replace and or surface every 10000 miles, and no I don't ride the brakes. Transmission replaced 62000 miles and at 80000 whining again!. Frustrating rattle under front end after a front seal was replaced. Dealer couldn't locate. A.C just went out coming home from Las Vegas. Back seat rattles from latch. Nissan Consumer relationship doesn't care. CVT transmission is junk. ",2.25
42, on 01/20/12 15:56 PM (PST),funissan1 ,2009 Nissan Rogue SUV SL 4dr SUV (2.5L 4cyl CVT),nissan rogue failure, Unfortunately I cant use profanity because all that comes to mind when i think of the 2009 nissan rogue i bought my wife is a 4 letter adjective starting with the letter F. Bought the car brand new november 2009 for my wife her first new car EVER. 8 months after buying it service engine light came on car started jerking every time she tryed to excellerate. Trip 1 to service department Transmission had to be completely replace. 6 months later car had same symptoms. Trip 2 to service department #2 cylinder missfire whatever that. Computer replaced. 5 months later same symptoms Trip 3 to service department same computer replaced AGAIN. Trip 4 same symptoms out of warranty $1700 repair.???????,1
43, on 12/19/11 19:55 PM (PST),ashley17 ,2009 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),BUY A ROGUE!," Overall....BEST CAR EVER! I don't know what is wrong with people who fuss about the shape of the car, nothing is wrong with it! Rides like a dream, purrs like a kitten,and will never let you down unless it is a minor problem like an oil change or tires. BUY ONE!",4.375
44, on 10/02/11 22:14 PM (PDT),mr_kc ,2009 Nissan Rogue SUV SL 4dr SUV AWD (2.5L 4cyl CVT),Nissan national & local dealer have forgotten they need a good product & good service to stay in business.," They are right about the dangers blind spot, although it does help if you have the side mirrors set properly (wide), even then if someone is right behind me it can be difficult to see them.The Blue Tooth works intermintently, but the dealer ship can not find a problem.They believe national Nissan's nonsense that you have to buy a compatible phone.I can go to Walmart & buy a much cheaper Blue Tooth & it works with ALL phones. It is really silly that Nissan think they can keep up testing all the new phones that come out each week for compatibility with their Blue Tooth.",3.25
45, on 02/26/11 18:39 PM (PST),xstreamclean ,2009 Nissan Rogue SUV SL 4dr SUV AWD (2.5L 4cyl CVT),"So far, So good!"," I read these reviews and don't understand.Some positive some negative.We have had our Rogue for 2 yrs. currently have about 25,000 miles and it has been a very good reliable car.Never had any problems, just scheduled maintenance. We live in Utah, we have snow, mountains etc. and the AWD is awesome!So far... I highly recommend this car.If you asked me one issue i MIGHT have is the blind spots in the car.The way the back end is formed may make it difficult for a amateur driver.I personally don't mind it, just use your mirrors.Hope this helps. ",5
46, on 12/07/10 00:00 AM (PST),broka ,2009 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),It grows on you," I traded in a GMC Envoy because the gas mileage was killing me and I did not really need that big of a car. The interior although well made is plain and simple. The car performs well but I would not call it fun. It is reliable in every respect but there is nothing to get excited about. But after 18 months, it has grown on me as being a very good all around good, practical, safe, comfortable, and reliable transportation. ",4.125
47, on 11/30/10 00:00 AM (PST),The car master ,2009 Nissan Rogue SUV SL 4dr SUV (2.5L 4cyl CVT),Not the right car for you?," You are making a big mistake if u buy this car or should i say ""circular shaped car"" I thought i was doing the right thing but. i was hardly mistaken. People told me i had the best looking car they ever seen. I heard it all and then when i finally got rid of it then they started telling me the truth. I felt so bad because everyone was talking behind my back about this bubble that i'm driving. Not a good look for a middle age guy with a very important job. Not for nothing but i can't even put up a ceil fan to save my life yet drive this car. make sure you take a second  guess before u just go and buy this ""bubble"",they call it. Make sure it is the right car for u. Trust me im saving ur life.",1.5
48, on 10/10/10 00:00 AM (PDT),Ken ,2009 Nissan Rogue SUV SL 4dr SUV AWD (2.5L 4cyl CVT),My Fixes," As far as smart key and rear window problems, this helped very much for me. I could not duplicate the key problem for the dealer, but it was getting frustrating. I removed the battery in the controller and bent the 3 contacts up slightly at the folds, using a small pocket knife. It has improved 95% and contribute some to junk in my pocket. I improved my blind spots by installing small rectangular stick on mirrors to my side mirrors. I still look back when I pull out, but it does give you more visibility. I'm 6'2 and I have more leg room than most vehicles. It has rapid response in emergency conditions. For the money, a nice little ride.",4.125
49, on 09/23/10 00:00 AM (PDT),sarah ,2009 Nissan Rogue SUV SL 4dr SUV AWD (2.5L 4cyl CVT),AWD Performance Poor," My purchase was in the spring so in trusting my dealership  to be honest with me as a loyal customer they badly misrepresented  the performance of the AWD feature on the Rogue, I feel it is a high priced  enhanced traction control and as far as AWD in the snow its awful! thanks Ken Ganley Nissan. the AWD engages maybe for a split second if that and you still slide all over the road, live and learn  that sales people only care about the almighty $$ not you as a loyal customer. If you want good, safe performance  in the snow get a AWD vehicle that engages and stays engaged in AWD/ 4x4.It was new to me  so an expensive lesson! ",3.375
50, on 09/06/10 00:00 AM (PDT),Roguelover ,2009 Nissan Rogue SUV SL 4dr SUV (2.5L 4cyl CVT),Excellent Choice," I was trying to buy a CR-V / RAV4 and was not able to get a good deal, so in frustration, went to see the rogue. After test driving it, i was really glad i came to the Nissan dealer. It drove great, looked great, was extremely smooth and quite and the best part, was much cheaper than a similar crv/rav4. After owning a SL with premium package and sunroof, i am glad i purchased. We just love this vehicle, its smooth drive. It averages around 26 - 27 mpg. Great features. Wish it had more trunk space though. Overall, great vehicle",4.875
